title,year,name,type,character,n
Uccelli d'Italia,1984,Stefano Abbati,actor,The 'Visitor',10.0
Un caso d'amore,1996,Stefano Abbati,actor,Terenzi,5.0
Vicino al fiume,2004,Stefano Abbati,actor,Annibale,
House of the Rising Sun,2011,Don Abbatiello,actor,Bar Patron,
Le capital,2012,Don Abbatiello,actor,Boat Captain,
The Outsider,2014,Don Abbatiello,actor,Jay,16.0
TV: The Movie,2006,Don Abbatiello,actor,Boat Thug,
Krush Groove,1985,Sal Abbatiello,actor,Sal,21.0
Tooth,2004,Sebastian Abbatiello,actor,Fairy Hunter,28.0
Class of 1984,1982,Vincent Abbatino,actor,Vinnie Contino,17.0
Bad Girls Dormitory,1986,John Abbato,actor,Waiter,38.0
Fight the Panda Syndicate,2008,Tony Abbattista,actor,FBI Agent Romney,
Last Stop for Paul,2006,Peter Abbay,actor,Mr. Konkal,7.0
Manhattan Minutiae,2016,Peter Abbay,actor,RC,7.0
Ms .45,1981,Peter Abbay,actor,Mr. Death,64.0
Le dernier diamant,2014,Azer Abbazov,actor,Le responsable de la s?curit?,28.0
The Good Book,1997,Brandon Abbe,actor,Outsider,20.0
Babs,1920,Charles S. Abbe,actor,Henry Dawes,4.0
Back Home and Broke,1922,Charles S. Abbe,actor,H.H. Hornby,5.0
Cappy Ricks,1921,Charles S. Abbe,actor,Cappy Ricks,2.0
Homeward Bound,1923,Charles S. Abbe,actor,Rufus Brent,3.0
Niobe,1915,Charles S. Abbe,actor,Peter Amos Dunn,2.0
The Boss,1915,Charles S. Abbe,actor,James D. Griswold,4.0
The Conquest of Canaan,1921,Charles S. Abbe,actor,Eskew Arp,6.0
The Escape,1914,Charles S. Abbe,actor,Minor Role,11.0
West of the Water Tower,1923,Charles S. Abbe,actor,R.N. Arnhalt,6.0
Poznan 56,1996,Henryk Abbe,actor,Old Worker,
The White Sister,1923,James E. Abbe,actor,Lt. Rossini,19.0
Soegija,2012,Muhammad Abbe,actor,Maryono,
Soekarno: Indonesia Merdeka,2013,Muhammad Abbe,actor,Wikana,
Channels,2008,Frank Abbedessa,actor,Maitre'D,
Jugular Wine: A Vampire Odyssey,1994,Manuel Abberra,actor,Crew mate,19.0
Zombie Dream,2015,Manuel Abberra,actor,Manuel,
Fedz,2013,Desire Abbetsala,actor,Drug dealer,
Fedz,2013,Desire Abbetsala,actor,undercover cop,
Rogue Saints,2011,Jontom Abbett,actor,Bible Study Guy,
Lords of the Underworld,2007,Bay Abbey,actor,Slay,3.0
Indictment: Dead Witnesses Can't Talk,2016,Caleb Abbey,actor,Extra (Classroom),
Hell at Heathridge,2013,Caroline Abbey,actor,Student 1,
6 Nonsmokers,2011,Francis Abbey,actor,Comandante Guillermo Dominguez,
Conquering the Rose,2012,Francis Abbey,actor,Blake Johnson,5.0
Roulette,2012,Francis Abbey,actor,Bar Patron,
Still Life (III),2009,Glenn Abbey,actor,Max Hollingworth,
388 Arletta Avenue,2011,Graham Abbey,actor,Officer #2,8.0
A Wake,2009,Graham Abbey,actor,Tyler,
Casino Jack,2010,Graham Abbey,actor,Simon Bowler,64.0
Defendor,2009,Graham Abbey,actor,Constable Mike,18.0
King John,2015,Graham Abbey,actor,"Philip, the Bastard",10.0
Take This Waltz,2011,Graham Abbey,actor,James,8.0
009 Re: Cyborg,2012,Gregory Abbey,actor,Void,
Gekijouban Yuugiou: Chouyuugou! Jikuu o koeta kizuna,2010,Gregory Abbey,actor,Yusei Fudo,1.0
Janguru taitei,1997,Gregory Abbey,actor,Harry,23.0
Los ilusionautas,2012,Gregory Abbey,actor,Additional Voices,10.0
The Hoax,2006,Gregory Abbey,actor,CBS Reporter,
Yu-Gi-Oh! The Movie,2004,Gregory Abbey,actor,Tristan Taylor,
Deadly Advice,1994,Ian Abbey,actor,Bunny,10.0
Indian Summer,1996,Ian Abbey,actor,T-Shirt Man,20.0
Jim & Joan,2012,Jean Abbey,actor,Jim,
Il pleut sur Santiago,1975,John Abbey,actor,L'agent am?ricain,1.0
Il pleut sur Santiago,1975,John Abbey,actor,CIA Agent,1.0
Mr. Freedom,1969,John Abbey,actor,Mr. Freedom,2.0
Playtime,1967,John Abbey,actor,Mr. Lacs,27.0
Triple Cross,1966,John Abbey,actor,Lang,10.0
The Natural,1984,Joshua Abbey,actor,Home Plate Photographer,51.0
Around the World in Eighty Days,1956,Leo Abbey,actor,Extra,
"Blackbeard, the Pirate",1952,Leo Abbey,actor,Pirate,
God Is My Co-Pilot,1945,Leo Abbey,actor,Ground Crewman,
I Was an American Spy,1951,Leo Abbey,actor,Torres,
Mutiny in the Arctic,1941,Leo Abbey,actor,Eskimo,
Roaming Lady,1936,Leo Abbey,actor,Chinese Man,
Saigon,1948,Leo Abbey,actor,Sinister Driver,
Somewhere I'll Find You,1942,Leo Abbey,actor,Bartender,
The Girl from Alaska,1942,Leo Abbey,actor,Eskimo,
The King and I,1956,Leo Abbey,actor,Guard,
Tropic Zone,1953,Leo Abbey,actor,Minor Role,
Drown,2015,Michael Abbey,actor,Gay Club Patron #7,82.0
A Goat's Tail,2006,Nathan Abbey,actor,Bmx Kid,
Offender,2012,Peter Abbey,actor,Judge,51.0
Fallen Angels,2002,Tony Arunah Abbey,actor,Mick Schumann,11.0
Largo Winch II,2011,Tony Arunah Abbey,actor,Hanson's Assistant,
Mechanic: Resurrection,2016,Tony Arunah Abbey,actor,Cook's Interview Reporter,31.0
Shiner,2000,Tony Arunah Abbey,actor,Boxing Fan,
The Visual Bible: The Gospel of John,2003,Tony Arunah Abbey,actor,Relative of Malchus,
Hawaii Calls,1938,William Abbey,actor,Lonzo,18.0
The Cat and the Canary,1939,William Abbey,actor,'The Cat',
Beasts of No Nation,2015,Ernest Abbeyquaye,actor,Paramount Chief,17.0
Death After Birth,2011,Ernest Abbeyquaye,actor,Father Damian,
Hamile,1964,Ernest Abbeyquaye,actor,Polonius,
Solo per il weekend,2015,Claudio Abbiati,actor,Anziano col cane,
La giusta distanza,2007,Roberto Abbiati,actor,Bolla,
La passione,2010,Roberto Abbiati,actor,Il vigile urbano,13.0
Boy,2009,Lady Abbie,actor,Female Impersonator,13.0
Frenesia dell'estate,1964,Franco Abbina,actor,Nardoni's Comrade-in-Arms,14.0
Il boom,1963,Franco Abbina,actor,Assistant occulist,18.0
Il Prof. Dott. Guido Tersilli primario della Clinica Villa Celeste convenzionata con le mutue,1969,Franco Abbina,actor,Dottor Mistic?,12.0
Il venditore di morte,1971,Franco Abbina,actor,Advocat Jeff Plummer,3.0
La cuccagna,1962,Franco Abbina,actor,Rinaldo - Rossella's brother-in-law,4.0
Le sorelle,1969,Franco Abbina,actor,Party guest,6.0
Un bellissimo novembre,1969,Franco Abbina,actor,Enzo,17.0
M.O.G.,2006,Darryl Abbinante,actor,Federal Agent #1,49.0
Dead in 5 Heartbeats,2013,John Abbink,actor,Hooligans Member,149.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,Marc Abbink,actor,Teacher,
Argo,2012,Marc Abbink,actor,Restaurant Patron,
Black Gold,2011,Marc Abbink,actor,Oil Worker,
Divergent,2014,Marc Abbink,actor,Abnegation,
Gone Girl,2014,Marc Abbink,actor,Casino Patron,
Her,2013,Marc Abbink,actor,Commuter in Subway,
Hold On,2017,Marc Abbink,actor,Probation Officer,
Jobs,2013,Marc Abbink,actor,Home Brew Club,
Saving Mr. Banks,2013,Marc Abbink,actor,Airplane Passenger at Airport,
Smashed,2012,Marc Abbink,actor,Bar Patron,
Straight Outta Compton,2015,Marc Abbink,actor,Pedestrian,
The Dark Knight Rises,2012,Marc Abbink,actor,Gotham City Police Officer,
The Gambler (III),2014,Marc Abbink,actor,Press Member,
The Lady Killers,2016,Marc Abbink,actor,Coroner,
The Submarine Kid,2015,Marc Abbink,actor,Doctor,
THINK: The Legacy of Think and Grow Rich,2017,Marc Abbink,actor,"Juror, Courtroom Observer",
Enchanted,2007,Raymond W. Abbiw,actor,Dancer,45.0
Effraction,1983,Francis Abbo,actor,Le chauffeur de taxi,18.0
Full Blast,2000,Mike Abbo,actor,Fighter in Bar,
Devil's Playground,2010,Efe Abboh,actor,The Infected,289.0
Rest Days,2014,Nick Abbondandolo,actor,Private Investigator,
Tutti morimmo a stento,2015,Michele (II) Abbondanza,actor,Livio Degli Angeli,
Boca Juniors 3D: The Movie,2015,Roberto Abbondanzieri,actor,Himself,2.0
Hastey Hastey Follow Your Heart,2008,Nick Abbondanzo,actor,Biker,
Life in Flight,2008,Scott Abbondanzo,actor,Boy Playing Soccer,
The Narrows,2008,Scott Abbondanzo,actor,Boy,35.0
Negro Buenos Aires,2010,Alejandro Abbonizio,actor,M?sico La Ideal,73.0
Bo chi tung wah,2008,Michael Abbort,actor,Murder Druglord,30.0
Caught,1996,Bernie Abbot,actor,Peter #1,7.0
Desert Wasteland,2016,Bob Abbot,actor,Detective Jackson,
Orphan of the Wilderness,1936,Brian Abbot,actor,Tom Henton,2.0
You're in the Movies,1985,Dave Abbot,actor,Team Member,17.0
Essex Vendetta,2016,Duncan Abbot,actor,Airport Customer,
Tender Mercies,1983,Jerry Abbot,actor,Piano - Country Blues Band Member,37.0
Life on a Leash,2002,Jim Abbot,actor,Dog Park Friend #2,12.0
Attack of the Killer Tomatoes!,1978,Paul Abbot,actor,Sergeant,31.0
Chasing the Deer,1994,Robin Abbot,actor,Recruit,23.0
Run for Your Wife,2012,Russ Abbot,actor,Hospital patient in bed,52.0
Desperate Teenage Lovedolls,1984,Ted Abbot,actor,Tremaine's assistant,27.0
Caught,1996,Tommy Abbot,actor,Peter #2,8.0
Desert Warrior,1988,Walter Abbot,actor,Drone,
A Beautiful Mind,2001,Michael Abbott Jr.,actor,Princeton Library Tutor,
Compliance,2012,Michael Abbott Jr.,actor,Officer Jimmy Palmer,
Elbow Grease,2016,Michael Abbott Jr.,actor,Randy Barnes,2.0
In the Radiant City,2016,Michael Abbott Jr.,actor,Andrew Yurley,1.0
Loving,2016,Michael Abbott Jr.,actor,Deputy Cole,22.0
Mud,2012,Michael Abbott Jr.,actor,James,17.0
Pilgrim Song,2012,Michael Abbott Jr.,actor,Pharmer,
Shotgun Stories,2007,Michael Abbott Jr.,actor,Cleaman Hayes,4.0
Vacation!,2010,Michael Abbott Jr.,actor,The Surfer,5.0
Blood Justice,1995,Aaron Abbott,actor,Anthony's Thug,
Dead Tides,1997,Aaron Abbott,actor,Lt. Quartermaster Green,17.0
My Normal,2009,Abdul Malik Abbott,actor,Omar,
The Forbidden Dimensions,2013,Alexander I. Abbott,actor,Mutant,
Omaha (The Movie),1995,Allan Abbott,actor,Himself (Dept. of Roads Director),16.0
The Rizen 2,2017,Andy Abbott,actor,Mysterious Staff Member,
Celestial Hunt,2013,Ashelle Abbott,actor,Suriah,
Criminal Opportunities in Seattle,2007,Audra Abbott,actor,PD Cop,
Speedsuit,2012,Benereia Abbott,actor,Principal Jacquelyn,
Firepower,1979,Bill Abbott,actor,Bodyguard,26.0
Cockfighter,1974,Billy (III) Abbott,actor,Referee,30.0
Heartstopper,1989,Bob Abbott,actor,Clown,23.0
"My Son, My Son, What Have Ye Done",2009,Brady Abbott,actor,Boy in Wheelchair,
Admission,2013,Brendan Abbott,actor,Student in Dream,
Delivery Man,2013,Brendan Abbott,actor,Biological Son,
Innocence (V),2014,Brendan Abbott,actor,Neils Hirsch's Friend,
Bone to the Dog,2013,Brent Abbott,actor,Debt Collector,
Faust,1980,Brian Abbott,actor,Faust,
Lucky Break,2001,Brian Abbott,actor,Officer Phillips,19.0
Adult Film: A Hollywood Tale,2009,Bruce Abbott,actor,President Brad,
American Fork,2007,Bruce Abbott,actor,Captain Atticus,38.0
Bad Dreams,1988,Bruce Abbott,actor,Dr. Alex Karmen,2.0
Bride of Re-Animator,1989,Bruce Abbott,actor,Dr. Dan Cain,2.0
Casual Sex?,1988,Bruce Abbott,actor,Keith,13.0
Eagles in the Chicken Coop,2010,Bruce Abbott,actor,President Brad,3.0
Interzone,1987,Bruce Abbott,actor,Swan,1.0
Re-Animator,1985,Bruce Abbott,actor,Dan Cain,2.0
Summer Heat,1987,Bruce Abbott,actor,Jack Ruffin,3.0
Tag: The Assassination Game,1982,Bruce Abbott,actor,Loren Gersh,8.0
The Demolitionist,1995,Bruce Abbott,actor,Prof. Jack Crowley,2.0
The Last Starfighter,1984,Bruce Abbott,actor,Rylan Sargent,
Trance,2002,Bruce Abbott,actor,Taylor Black,3.0
Abbott and Costello Go to Mars,1953,Bud Abbott,actor,Lester,1.0
Abbott and Costello in the Foreign Legion,1950,Bud Abbott,actor,Bud Jones,1.0
Abbott and Costello Meet Captain Kidd,1952,Bud Abbott,actor,Rocky Stonebridge,1.0
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,1953,Bud Abbott,actor,Slim,1.0
Abbott and Costello Meet the Invisible Man,1951,Bud Abbott,actor,Bud Alexander,1.0
Abbott and Costello Meet the Keystone Kops,1955,Bud Abbott,actor,Harry 'Slim' Pierce,1.0
"Abbott and Costello Meet the Killer, Boris Karloff",1949,Bud Abbott,actor,Casey Edwards,1.0
Abbott and Costello Meet the Mummy,1955,Bud Abbott,actor,Pete Patterson,1.0
Africa Screams,1949,Bud Abbott,actor,Buzz Johnson,1.0
Buck Privates,1941,Bud Abbott,actor,Slicker Smith,1.0
Buck Privates Come Home,1947,Bud Abbott,actor,Slicker Smith,1.0
Bud Abbott and Lou Costello in Hollywood,1945,Bud Abbott,actor,Buzz Kurtis,1.0
Bud Abbott Lou Costello Meet Frankenstein,1948,Bud Abbott,actor,Chick,1.0
Comin' Round the Mountain,1951,Bud Abbott,actor,Al Stewart,1.0
"Dance with Me, Henry",1956,Bud Abbott,actor,Bud Flick,1.0
Fireman Save My Child,1954,Bud Abbott,actor,Man in Long Shots,
Here Come the Co-eds,1945,Bud Abbott,actor,Slats McCarthy,1.0
Hit the Ice,1943,Bud Abbott,actor,Flash Fulton,1.0
Hold That Ghost,1941,Bud Abbott,actor,Chuck Murray,1.0
In Society,1944,Bud Abbott,actor,Eddie,1.0
In the Navy,1941,Bud Abbott,actor,Smokey Adams,1.0
Into the Night,1985,Bud Abbott,actor,Chick Young in 'Abbott and Costello Meet Frankenstein',59.0
It Ain't Hay,1943,Bud Abbott,actor,Grover Mockridge,1.0
Jack and the Beanstalk,1952,Bud Abbott,actor,Mr. Dinkel,1.0
Jack and the Beanstalk,1952,Bud Abbott,actor,Mr. Dinkelpuss,1.0
Keep 'Em Flying,1941,Bud Abbott,actor,Blackie Benson,1.0
Little Giant,1946,Bud Abbott,actor,Eddie L. Morrison,1.0
Little Giant,1946,Bud Abbott,actor,T.S. Chandler,1.0
Lost in a Harem,1944,Bud Abbott,actor,Peter Johnson,1.0
Lost in Alaska,1952,Bud Abbott,actor,Tom Watson,1.0
Mexican Hayride,1948,Bud Abbott,actor,Harry Lambert,1.0
One Night in the Tropics,1940,Bud Abbott,actor,Abbott,4.0
Pardon My Sarong,1942,Bud Abbott,actor,Algy Shaw,1.0
Ride 'Em Cowboy,1942,Bud Abbott,actor,Duke,1.0
Rio Rita,1942,Bud Abbott,actor,'Doc',1.0
The Naughty Nineties,1945,Bud Abbott,actor,Dexter Broadhurst,1.0
The Noose Hangs High,1948,Bud Abbott,actor,Ted Higgins,1.0
The Time of Their Lives,1946,Bud Abbott,actor,Cuthbert Greenway,1.0
The Time of Their Lives,1946,Bud Abbott,actor,Dr. Ralph Greenway,1.0
The Wistful Widow of Wagon Gap,1947,Bud Abbott,actor,Duke Egan,1.0
The World of Abbott and Costello,1965,Bud Abbott,actor,Character in Film Clips,
Who Done It?,1942,Bud Abbott,actor,Chick Larkin,1.0
Who Done It?,1942,Bud Abbott,actor,Voice of Himself on Radio,1.0
A Numbers Game,2010,Carter Abbott,actor,Lemonade Stand kid,26.0
Sweetie,1989,Charles (II) Abbott,actor,Meditation Teacher,19.0
The Illustrated Family Doctor,2005,Charles (II) Abbott,actor,Dr. Cherry,24.0
The Lives of Hamilton Fish,2013,Chip Abbott,actor,Dancer,
The Golden Compass,2007,Chris (VII) Abbott,actor,Fellow,53.0
The Tomb Robbery Papyrus: Notes of a Past,2009,Chris (VIII) Abbott,actor,Prof. Richards,
Bus Line Blues,2016,Christian (II) Abbott,actor,Rico,
A Most Violent Year,2014,Christopher (II) Abbott,actor,Louis Servidio,5.0
All That I Am,2013,Christopher (II) Abbott,actor,Christian,1.0
Art Machine,2012,Christopher (II) Abbott,actor,Cap'n Tar,9.0
Criminal Activities,2015,Christopher (II) Abbott,actor,Warren,3.0
Full-Dress,2017,Christopher (II) Abbott,actor,Sean,
Hello I Must Be Going,2012,Christopher (II) Abbott,actor,Jeremy,12.0
Hilltown,2016,Christopher (II) Abbott,actor,Tony,1.0
James White,2015,Christopher (II) Abbott,actor,James White,1.0
Katie Says Goodbye,2016,Christopher (II) Abbott,actor,Bruno,
Martha Marcy May Marlene,2011,Christopher (II) Abbott,actor,Max,2.0
The Sleepwalker,2014,Christopher (II) Abbott,actor,Andrew,2.0
Whiskey Tango Foxtrot,2016,Christopher (II) Abbott,actor,Fahim Ahmadzai,5.0
5 Minutes,2012,Christopher (III) Abbott,actor,Detective #1,
Never Forget How Much a Dead Man Weighs,2010,Claude Abbott,actor,Voice on Phone,
Red Eye,2017,Clayton Abbott,actor,Red Eye,
Some Stay Strong,2012,Curtis (II) Abbott,actor,Matt,
Terminator 2: Judgment Day,1991,Dalton Abbott,actor,Infant John Connor,37.0
Neptune,2005,Dan Abbott,actor,Neptune,
Christina's House,2000,David Abbott,actor,Mr. Fox,13.0
Crawlspace,1986,David Abbott,actor,Hank Storm,8.0
Starry Night,1999,David Abbott,actor,Vincent Van Gogh,1.0
The Karate Kid,1984,David Abbott,actor,Yahoo #2,29.0
They,2002,David Abbott,actor,Professor Adkins,14.0
Time Runner,1993,David Abbott,actor,Hank Duggan,18.0
The Barber,2002,David (V) Abbott,actor,Halstrom,10.0
Baggage Claim,2013,Dillon Wayne Abbott,actor,Airport Guy,27.0
Criminal Opportunities in Seattle,2007,Donald Abbott,actor,PD Cop,
Faces,2016,Dustin Abbott,actor,Bartender,
The Runway,2010,Erik Abbott,actor,Bill,21.0
The Buccaneer,1938,Frank Abbott,actor,Pirate,
The Wild Bull's Lair,1925,Frank Abbott,actor,Yuma,6.0
A Clockwork Orange,1971,Frankie Abbott,actor,Rex - Police Landrover Driver,
A Clockwork Orange,1971,Frankie Abbott,actor,1st Policeman at Duke of York,
Dentist on the Job,1961,Fred Abbott,actor,1st M.P.,
Nearly a Nasty Accident,1961,Fred Abbott,actor,1st Service Policeman,
The Siege of Pinchgut,1959,Fred Abbott,actor,Constable,17.0
Camelot,1967,Fredric Abbott,actor,Sir Geoffrey,
Fun and Games,1971,Fredric Abbott,actor,Forbus,6.0
Mistress Pamela,1974,Fredric Abbott,actor,John Andrews,11.0
On the Beat,1962,Fredric Abbott,actor,Undetermined role,
Revenge of the Pink Panther,1978,Fredric Abbott,actor,Douvier's Soldier,38.0
The Hellfire Club,1961,Fredric Abbott,actor,Prison Guard,
Tower of Evil,1972,Fredric Abbott,actor,Saul,16.0
Stanley's Dragon,1994,Gavin Abbott,actor,Terry,14.0
The Incredible Adventures of Marco Polo,1998,Gavin Abbott,actor,Leader,8.0
The Impostor,1918,George Abbott,actor,Lem,11.0
Why Bring That Up?,1929,George Abbott,actor,Director,
South of Heaven,2008,Glenn Abbott,actor,Store Clerk,
The Raiders,1921,H. Abbott,actor,Oscar Nelson,6.0
A Dark Reflection,2015,Harry Abbott,actor,Journalist #7,
Sunburn,1999,Henry Abbott,actor,Jonty,6.0
72 Hours: A Brooklyn Love Story?,2016,Ilya Abbott,actor,Cypher MC #3,26.0
Graft,1915,Jack Abbott,actor,Jim Stevens,10.0
Just Jim,1915,Jack Abbott,actor,The Sheriff,7.0
The Price of Her Soul,1917,Jack Abbott,actor,Ralph Connor,6.0
Big Things,2009,Jai Abbott,actor,Mogs,
Ravenswood,2013,James (VII) Abbott,actor,Jimmy Burt,
Tales of Albion,2014,James (VII) Abbott,actor,George,40.0
The Spirit of Albion,2012,James (VII) Abbott,actor,George,7.0
Back to the Future,1985,Jamie Abbott,actor,Scooter Kid #2,30.0
Micki + Maude,1984,Jamie Abbott,actor,Frank Lanford,29.0
Poltergeist II: The Other Side,1986,Jamie Abbott,actor,Kane's People,16.0
Testament,1983,Jamie Abbott,actor,Boy Mayor,22.0
Living in Missouri,2001,Jason Abbott,actor,Mr. Plummer,15.0
The Good Boys,2014,Jason (IV) Abbott,actor,Hench man,
The Torment of Laurie Ann Cullom,2014,Jason (V) Abbott,actor,Mr. Morgan,
Bill's Gun Shop,2001,Jesse Abbott,actor,Hassan,
Monkey Man,2011,Jim Abbott,actor,Tony,
Oh Schucks ..... It's Schuster!,1989,Jimmy Abbott,actor,Himself,
Pretville,2012,Jimmy Abbott,actor,Jailbird,36.0
2000 Years Later,1969,John Abbott,actor,Gregorius,5.0
A Thousand and One Nights,1945,John Abbott,actor,Ali,12.0
Abroad with Two Yanks,1944,John Abbott,actor,Salesman,12.0
Adventure Island,1947,John Abbott,actor,Huish,4.0
Anna and the King of Siam,1946,John Abbott,actor,Phya Phrom,
Crosswinds,1951,John Abbott,actor,Algernon 'Mousey' Sykes,5.0
Cry of the Werewolf,1944,John Abbott,actor,Peter Althius,7.0
Dangerous Blondes,1943,John Abbott,actor,Roland X. Smith,
Deception,1946,John Abbott,actor,Bertram Gribble,4.0
End of the Road,1944,John Abbott,actor,Chris Martin,2.0
Gambit,1966,John Abbott,actor,Emile Fournier,6.0
Get Hep to Love,1942,John Abbott,actor,Prof. Radowsky,10.0
Gigi,1958,John Abbott,actor,Manuel,8.0
Hangmen Also Die!,1943,John Abbott,actor,Hostage,
Honeymoon Ahead,1945,John Abbott,actor,Welles,8.0
Humoresque,1946,John Abbott,actor,Rozner,12.0
If Winter Comes,1947,John Abbott,actor,Mr. Twyning,10.0
Jane Eyre,1943,John Abbott,actor,Mason,
Joan of Paris,1942,John Abbott,actor,English Spy,12.0
London Blackout Murders,1943,John Abbott,actor,Jack Rawlings,1.0
Madame Bovary,1949,John Abbott,actor,Mayor Tuvache,9.0
Mademoiselle Docteur,1937,John Abbott,actor,Armand,
Mission to Moscow,1943,John Abbott,actor,Grinko,
Mrs. Miniver,1942,John Abbott,actor,Fred,14.0
Navy Bound,1951,John Abbott,actor,Pappa Cerrano,4.0
Nightmare,1942,John Abbott,actor,Karl aka Charles,10.0
Omar Khayyam,1957,John Abbott,actor,Yusuf,
Once Upon a Time,1944,John Abbott,actor,Reporter,
One More Tomorrow,1946,John Abbott,actor,Joseph Baronova,10.0
Public Pigeon No. One,1957,John Abbott,actor,Dipso Dave Rutherford,8.0
Pursuit to Algiers,1945,John Abbott,actor,Jodri,9.0
Rogue's March,1953,John Abbott,actor,Herbert Bielensen,5.0
Rubber Racketeers,1942,John Abbott,actor,Dumbo,5.0
Saratoga Trunk,1945,John Abbott,actor,Roscoe Bean,8.0
Secrets of Scotland Yard,1944,John Abbott,actor,Mortimer Cope,6.0
Sideshow,1950,John Abbott,actor,Pierre,3.0
Slapstick (Of Another Kind),1982,John Abbott,actor,Dr. Frankenstein,4.0
Smorgasbord,1983,John Abbott,actor,Surgeon,9.0
Sombrero,1953,John Abbott,actor,Don Daniel,12.0
Summer Storm,1944,John Abbott,actor,Lunin -Public Prosecutor,9.0
Ten Days in Paris,1940,John Abbott,actor,Andr?,7.0
The Bandit of Sherwood Forest,1945,John Abbott,actor,Will Scarlet,8.0
The Black Bird,1975,John Abbott,actor,DuQuai,8.0
The Conquest of the Air,1936,John Abbott,actor,Jean-Fran?ois Pil?tre de Rozier,9.0
The Crime Doctor's Warning,1945,John Abbott,actor,Jimmy Gordon,6.0
The Cross of Lorraine,1943,John Abbott,actor,Baker,
The Falcon in Hollywood,1944,John Abbott,actor,Martin S. Dwyer,4.0
The Gorilla Man,1943,John Abbott,actor,Dr. Ferris,7.0
The Great Commandment,1939,John Abbott,actor,Starving Begger,
The Greatest Story Ever Told,1965,John Abbott,actor,Aben,30.0
The Jungle Book,1967,John Abbott,actor,Wolf,12.0
The Mask of Dimitrios,1944,John Abbott,actor,Mr. Pappas,12.0
The Merry Widow,1952,John Abbott,actor,Marshovian Ambassador,6.0
The Notorious Lone Wolf,1946,John Abbott,actor,Lal Bara,4.0
The Power of the Whistler,1945,John Abbott,actor,"Kasper Andropolos, Bookshop Owner",6.0
The Return of the Scarlet Pimpernel,1937,John Abbott,actor,Flower Seller,
The Saint in London,1939,John Abbott,actor,Count Stephen Duni,7.0
The Shanghai Gesture,1941,John Abbott,actor,Poppy's Escort,
The Steel Lady,1953,John Abbott,actor,Mustafa el Melik,5.0
The Vampire's Ghost,1945,John Abbott,actor,Webb Fallon,1.0
The Web,1947,John Abbott,actor,Charles Murdock,6.0
The Woman in White,1948,John Abbott,actor,Frederick Fairlie,6.0
They Got Me Covered,1943,John Abbott,actor,Gregory Vanescu,19.0
This Above All,1942,John Abbott,actor,Joe,
This Man Is News,1938,John Abbott,actor,Hood with Foreign Accent,
Three Guns for Texas,1968,John Abbott,actor,Banker Irwing,9.0
Thunder in the East,1951,John Abbott,actor,Nitra Puta,7.0
Thunder on the Hill,1951,John Abbott,actor,Abel Harmer,8.0
Time Out of Mind,1947,John Abbott,actor,Max Lieberman,7.0
U-Boat Prisoner,1944,John Abbott,actor,Alfonse Lamont,3.0
Under Secret Orders,1937,John Abbott,actor,Armand,7.0
Who's Minding the Store?,1963,John Abbott,actor,Mr. Orlandos,10.0
Four Weddings and a Funeral,1994,John (II) Abbott,actor,Polite Verger - Wedding Four,45.0
Lady Jane,1986,John (II) Abbott,actor,Manservant,36.0
